Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
離,离,lei4,lèih,"surname Lito leave, to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦, symbolizing fire, ☲",,
往,往,wong5,wóngh,"to go (in a direction), to, towards, (of a train) bound for, past, previous",,
送,送,sung3,sung,"to deliver, to carry, to give (as a present), to present (with), to see off, to send",,
帶,带,daai3,daai,"band, belt, girdle, ribbon, tire, area, zone, region, CL:條, to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise",,
放,放,fong3,fong,"to put, to place, to release, to free, to let go, to let out, to set off (fireworks)",,
拿,拿,naa4,nàh,"to hold, to seize, to catch, to apprehend, to take, (used in the same way as 把: to mark the following noun as a direct object)",,
進來,进来,zeon3 loi4,jeun lòih,to come in,,
出去,出去,ceot1 heoi3,chēut heui,to go out,,
站,站,zaam6,jaamh,"station, to stand, to halt, to stop, branch of a company or organization, website",,
快,快,faai3,faai,"rapid, quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plainspoken, gratified, pleased, pleasant",,
慢,慢,maan6,maanh,slow,,Cantonese::CantoneseClass101
近,近,gan6,ganh,"near, close to, approximately",,
遠,远,jyun5,yúnh,"far, distant, remote, (intensifier in a comparison) by far, much (lower etc)to distance oneself from (classical)",,
手,手,sau2,sáu,"hand, (formal) to hold, person engaged in certain types of work, person skilled in certain types of work, personal(ly), convenient, classifier for skill, CL:雙, 隻",,
身體,身体,san1 tai2,sān tái,"the body, one's health, CL:具, 個, in person",,
眼睛,眼睛,ngaan5 zing1,ngáanh jīng,"eye, CL:隻, 雙",,
藥,药,joek6,yeuhk,"medicine, drug, substance used for a specific purpose (e.g. poisoning, explosion, fermenting), CL:種, 服, 味, to poison",,
累,累,leoi6,leuih,"to accumulate, to involve or implicate (Taiwan pr. ), continuous, repeatedtired, weary, to strain, to wear out, to work hard",,
雙,双,soeng1,sēung,"surname Shuangtwo, double, pair, both, even (number)",,
元,元,jyun4,yùnh,"surname Yuan, the Yuan or Mongol dynasty (1279-1368)currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), meta- (prefix), (math.) argument, variable, (Tw) (geology) eon",,
鞋子,鞋子,haai4 zi2,hàaih jí,shoe,,
褲子,裤子,fu3 zi2,fu jí,"trousers, pants, CL:條",,
市場,市场,si5 coeng4,síh chèungh,"marketplace, market (also in abstract)",,
衣服,衣服,ji1 fuk6,yī fuhk,"clothes, CL:件, 套",,
比,比,bei2,béi,"Belgium, Belgian, abbr. for 比利時利时to associate with, to be near",,
要,要,jiu3,yiu,"to demand, to request, to coerceimportant, vital, to want, to ask for, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably, if",,
長,长,coeng4,chèungh,"length, long, forever, always, constantlychief, head, elder, to grow, to develop, to increase, to enhance",,
新,新,san1,sān,"abbr. for Xinjiang 新疆 or Singapore 新加坡, surname Xinnew, newly, meso- (chemistry)",,
一樣,一样,jat1 joeng6,yāt yeungh,"same, like, equal to, the same as, just like",,
好吃,好吃,hou2 hek3,hóu hek,"tasty, deliciousto be fond of eating, to be gluttonous",,
件,件,gin6,ginh,"item, component, classifier for events, things, clothes etc",,
杯,杯,bui1,būi,"cup, trophy cup, classifier for certain containers of liquids: glass, cup",,
瓶,瓶,ping4,pìngh,"bottle, vase, pitcher, CL:個, classifier for wine and liquids",,
菜,菜,coi3,choi,"dish (type of food), vegetable, cuisine, CL:盤, 道, (coll.) (one's) type, (of one's skills etc) weak, poor",,
蘋果,苹果,ping4 gwo2,pìngh gwó,"apple, CL:個, 顆",,
肉,肉,juk6,yuhk,"meat, flesh, pulp (of a fruit), (coll.) (of a fruit) squashy, (of a person) flabby, irresolute",,
酒,酒,zau2,jáu,"wine (esp. rice wine), liquor, spirits, alcoholic beverage, CL:杯, 瓶, 罐, 桶, 缸",,
喝,喝,hot3,hot,"to drink, My goodness!to shout loudly",,
少,少,siu2,síu,"few, less, to lack, to be missing, to stop (doing sth), seldomyoung",,
一起,一起,jat1 hei2,yāt héi,"in the same place, together, with, altogether (in total)",,
因為,因为,jan1 wai4,yān wàih,"because, owing to, on account of",,
和,和,wo4,wòh,"surname He, Japanese (food, clothes etc)to mix (ingredients) together, to blend, classifier for rinses of clothes, classifier for boilings of medicinal herbs",,
所以,所以,so2 ji5,só yíh,"therefore, as a result, so, the reason why",,
跟,跟,gan1,gān,"heel, to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)",,
著,著,"zyu3, zoek3","jyu, jeuk",aspect particle indicating action in progressto touch,"to come in contact with; to feel; to be affected by; to catch fire; to burn; (coll.) to fall asleep; (after a verb) hitting the mark; succeeding into wear (clothes); to contact; to use; to apply(chess) move, trick, all right!, (dialect) to add",
可能,可能,ho2 nang4,hó nàngh,"might (happen), possible, probable, possibility, probability, maybe, perhaps, CL:個",,
出生,出生,ceot1 saang1,chēut sāang,to be born,,
國,国,gwok3,gwok,"surname Guocountry, nation, state, national, CL:個",,
不同,不同,bat1 tung4,bāt tùngh,"different, distinct, not the same, not alike",,
地址,地址,dei6 zi2,deih jí,"address, CL:個",,
市,市,si5,síh,"market, city, CL:個",,
傳真,传真,cyun4 zan1,chyùnh jān,"fax, facsimile",,
留言,留言,lau4 jin4,làuh yình,"to leave a message, to leave one's comments, message",,
日期,日期,jat6 kei4,yaht kèih,"date, CL:個",,
時間,时间,si4 gaan1,sìh gāan,"time, period, CL:段",,
鐘頭,钟头,zung1 tau4,jūng tàuh,"hour, CL:個",,
晚,晚,maan5,máanh,"evening, night, late",,
夜,夜,je6,yeh,night,,
禮拜,礼拜,lai5 baai3,láih baai,"week, religious service, worship, CL:個",,
禮拜天,礼拜天,lai5 baai3 tin1,láih baai tīn,Sunday,,
前天,前天,cin4 tin1,chình tīn,the day before yesterday,,
後天,后天,hau6 tin1,hauh tīn,"the day after tomorrow, acquired (not innate), a posteriori",,
從前,从前,cung4 cin4,chùngh chình,"previously, formerly, once upon a time",,
夏,夏,haa6,hah,"summerthe Xia or Hsia dynasty c. 2000 BC, Xia of the Sixteen Kingdoms (407-432)surname Xia",,
冬,冬,dung1,dūng,winter,,
秋,秋,cau1,chāu,"surname Qiuautumn, fall, harvest time",,
春,春,ceon1,chēun,"surname Chunspring (season), gay, joyful, youthful, love, lust, life",,
一會兒,一会儿,jat1 wui2 ji4,yāt wúi yìh,"a moment, a while, in a moment, now...now...",,
不久,不久,bat1 gau2,bāt gáu,"not long (after), before too long, soon, soon after",,
剛剛,刚刚,gong1 gong1,gōng gōng,"just recently, just a moment ago",,
剛才,刚才,gong1 coi4,gōng chòih,"just now, a moment ago",,
當然,当然,dong1 jin4,dōng yình,"only natural, as it should be, certainly, of course, without doubt",,
自己,自己,zi6 gei2,jih géi,"oneself, one's own",,
別人,别人,bit6 jan4,biht yành,"other people, others, other person",,
年紀,年纪,nin4 gei2,nình géi,"age, CL:把, 個",,
男人,男人,naam4 jan4,nàamh yành,"a man, a male, men, CL:個",,
女人,女人,neoi5 jan4,néuih yành,womanwife,,
大人,大人,daai6 jan4,daaih yành,"adult, grownup, title of respect toward superiors",,
老人,老人,lou5 jan4,lóuh yành,"old man or woman, the elderly, one's aged parents or grandparents",,
習慣,习惯,zaap6 gwaan3,jaahp gwaan,"habit, custom, usual practice, to be used to, CL:個",,
家庭,家庭,gaa1 ting4,gā tìngh,"family, household, CL:戶, 個",,
父親,父亲,fu6 can1,fuh chān,"father , CL:個",,
母親,母亲,mou5 can1,móuh chān,"mother, CL:個",,
父母,父母,fu6 mou5,fuh móuh,"father and mother, parents",,
爺爺,爷爷,je4 je4,yèh yèh,"(coll.) father's father, paternal grandfather, CL:個",,
奶奶,奶奶,naai5 naai5,náaih náaih,"(informal) grandma (paternal grandmother), (respectful) mistress of the house, CL:位, (coll.) boobies, breasts",,
關係,关系,gwaan1 hai6,gwāan haih,"relation, relationship, to concern, to affect, to have to do with, guanxi, CL:個",,
教堂,教堂,gaau3 tong4,gaau tòngh,"church, chapel, CL:間",,
最,最,zeoi3,jeui,"most, the most, -est (superlative suffix)",,
更,更,gang3,gang,"to change or replace, to experience, one of the five two-hour periods into which the night was formerly divided, watch (e.g. of a sentry or guard)more, even more, further, still, still more",,
愉快,愉快,jyu4 faai3,yùh faai,"cheerful, cheerily, delightful, pleasant, pleasantly, pleasing, happy, delighted",,
開心,开心,hoi1 sam1,hōi sām,"to feel happy, to rejoice, to have a great time, to make fun of sb",,
著急,著急,zoek6 gap1,jeuhk gāp,"to worry, to feel anxious, Taiwan pr.",,
擔心,担心,daam1 sam1,dāam sām,"anxious, worried, uneasy, to worry, to be anxious",,
生氣,生气,saang1 hei3,sāang hei,"to get angry, to take offense, angry, vitality, liveliness",,
怕,怕,paa3,pa,"to be afraid, to fear, to dread, to be unable to endure, perhapssurname Pa",,
哭,哭,huk1,hūk,"to cry, to weep",,
難過,难过,naan4 gwo3,nàanh gwo,"to feel sad, to feel unwell, (of life) to be difficult",,
傷心,伤心,soeng1 sam1,sēung sām,"to grieve, to be broken-hearted, to feel deeply hurt",,
美,美,mei5,méih,"the Americas, abbr. for 美洲, USA, abbr. for 美國国beautiful, very satisfactory, good, to beautify, to be pleased with oneself",,
美麗,美丽,mei5 lai6,méih laih,beautiful,,
聰明,聪明,cung1 ming4,chūng mìngh,"intelligent, clever, bright, smart, acute (of sight and hearing)",,
認真,认真,jing6 zan1,yingh jān,"conscientious, earnest, serious, to take seriously, to take to heart",,
勇敢,勇敢,jung5 gam2,yúngh gám,"brave, courageous",,
禮貌,礼貌,lai5 maau6,láih maauh,"courtesy, manners",,
害羞,害羞,hoi6 sau1,hoih sāu,"shy, embarrassed, bashful",,
應該,应该,jing3 goi1,ying gōi,"ought to, should, must",,
相信,相信,soeng1 seon3,sēung seun,"to be convinced (that sth is true), to believe, to accept sth as true",,
經驗,经验,ging1 jim6,gīng yimh,"experience, to experience",,
關心,关心,gwaan1 sam1,gwāan sām,"to be concerned about, to care about",,
辛苦,辛苦,san1 fu2,sān fú,"exhausting, hard, tough, arduous, to work hard, to go to a lot of trouble, hardship(s)",,
願意,愿意,jyun6 ji3,yunh yi,"to wish, to want, ready, willing (to do sth)",,
心情,心情,sam1 cing4,sām chìngh,"mood, frame of mind, CL:個",,
幸福,幸福,hang6 fuk1,hangh fūk,"happiness, happy, blessed",,
可憐,可怜,ho2 lin4,hó lình,"pitiful, pathetic, to have pity on",,
差,差,caa1,chā,"difference, discrepancy, to differ, error, to err, to make a mistaketo send, to commission, messenger, mission",,
職業,职业,zik1 jip6,jīk yihp,"occupation, profession, vocation, professional",,
教師,教师,gaau3 si1,gaau sī,"teacher, CL:個",,
經理,经理,ging1 lei5,gīng léih,"manager, director, CL:個, 位, 名",,
記者,记者,gei3 ze2,gei jé,"reporter, journalist, CL:個",,
服務員,服务员,fuk6 mou6 jyun4,fuhk mouh yùnh,"waiter, waitress, attendant, customer service personnel, CL:個, 位",,
顧客,顾客,gu3 haak3,gu haak,"client, customer, CL:位",,
教書,教书,gaau3 syu1,gaau syū,to teach (in a school),,
開會,开会,hoi1 wui2,hōi wúi,"to hold a meeting, to attend a meeting",,
下班,下班,haa6 baan1,hah bāan,"to finish work, to get off work",,
危險,危险,ngai4 him2,ngàih hím,"danger, dangerous",,
安全,安全,ngon1 cyun4,ngōn chyùnh,"safe, secure, safety, security",,
成功,成功,sing4 gung1,sìngh gūng,"Chenggong or Chengkung town in Taitung County 臺東縣东县, southeast Taiwansuccess, to succeed, CL:次, 個",,
報告,报告,bou3 gou3,bou gou,"to inform, to report, to make known, report, speech, talk, lecture, CL:篇, 份, 個, 通",,
打算,打算,daa2 syun3,dá syun,"to plan, to intend, to calculate, plan, intention, calculation, CL:個",,
機會,机会,gei1 wui2,gēi wúi,"opportunity, chance, occasion, CL:個",,
當,当,dong1,dōng,"to be, to act as, manage, withstand, when, during, ought, should, match equally, equal, same, obstruct, just at (a time or place), on the spot, right, just atat or in the very same..., suitable, adequate, fitting, proper, to replace, to regard as, to think, to pawn, (coll.) to fail (a student)",,
如果,如果,jyu4 gwo2,yùh gwó,"if, in case, in the event that",,
計畫,计划,gai3 waa2,gai wá,variant of 計劃划 [n] plan,programme; project [v] plan; map out; scheme,
努力,努力,nou5 lik6,nóuh lihk,"great effort, to strive, to try hard",,
管理,管理,gun2 lei5,gún léih,"to supervise, to manage, to administer, management, administration, CL:個",,
學院,学院,hok6 jyun2,hohk yún,"college, educational institute, school, faculty, CL:所",,
小學生,小学生,siu2 hok6 saang1,síu hohk sāang,"primary school student, schoolchild, CL:個, 名, (fig.) beginner",,
大學生,大学生,daai6 hok6 saang1,daaih hohk sāang,"university student, college student",,
同學,同学,tung4 hok6,tùngh hohk,"to study at the same school, fellow student, classmate, CL:位, 個",,
校長,校长,haau6 coeng4,haauh chèungh,"(college, university) president, headmaster, CL:個, 位, 名",,
放假,放假,fong3 gaa3,fong ga,to have a holiday or vacation,,
畢業,毕业,bat1 jip6,bāt yihp,"graduation, to graduate, to finish school",,
開學,开学,hoi1 hok6,hōi hohk,"foundation of a University or College, school opening, the start of a new term",,
成績,成绩,sing4 zik1,sìngh jīk,"achievement, performance records, grades, CL:項, 個",,
學期,学期,hok6 kei4,hohk kèih,"term, semester, CL:個",,
學費,学费,hok6 fai3,hohk fai,"tuition fee, tuition, CL:個",,
暑假,暑假,syu2 gaa3,syú ga,"summer vacation, CL:個",,
寒假,寒假,hon4 gaa3,hònh ga,winter vacation,,
服務,服务,fuk6 mou6,fuhk mouh,"to serve, service, CL:項",,
宿舍,宿舍,suk1 se3,sūk se,"dormitory, dorm room, living quarters, hostel, CL:間",,
操場,操场,cou1 coeng4,chōu chèungh,"playground, sports field, drill ground, CL:個",,
校園,校园,haau6 jyun4,haauh yùnh,campus,,
中文,中文,zung1 man4,jūng mành,Chinese language,,
文化,文化,man4 faa3,mành fa,"culture, civilization, cultural, CL:個, 種",,
語法,语法,jyu5 faat3,yúh faat,grammar,,
漢語,汉语,hon3 jyu5,hon yúh,"Chinese language, CL:門",,
書法,书法,syu1 faat3,syū faat,"calligraphy, handwriting, penmanship",,
班,班,baan1,bāan,"team, class, squad, work shift, ranking, CL:個, classifier for groupssurname Ban",,
書桌,书桌,syu1 coek3,syū cheuk,"desk, CL:張",,
課,课,fo3,fo,"subject, course, CL:門, class, lesson, CL:堂, 節, to levy, tax, form of divination",,
字典,字典,zi6 din2,jih dín,"dictionary, character dictionary, CL:本",,
漢字,汉字,hon3 zi6,hon jih,"Chinese character, CL:個, Japanese: kanji, Korean: hanja, Vietnamese: hán tự",,
鉛筆,铅笔,jyun4 bat1,yùnh bāt,"(lead) pencil, CL:支, 枝, 桿",,
尺,尺,cek3,chek,"one of the characters used to represent a musical note in gongche notation, 工尺譜尺谱a Chinese foot, one-third of a meter, a ruler, a tape-measure, one of the three acupoints for measuring pulse in Chinese medicine, CL:支, 把",,
毛筆,毛笔,mou4 bat1,mòuh bāt,"writing brush, CL:枝, 管",,
教,教,gaau3,gaau,"surname Jiaoreligion, teaching, to make, to cause, to tell",,
