English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
End-to-end encryption,تشفير من طرف إلى طرف,এন্ড-টু-এন্ড এনক্রিপশন,端對端加密,رمزگذاری سرتاسری,chiffrement de bout en bout,Ende-zu-Ende-Verschlüsselung,پای تر پایه کوډګري,criptografia de ponta a ponta,cifrado de extremo a extremo,usimbaji fiche wa mwisho hadi mwisho,uçtan uca şifreleme,наскрізне шифрування,اینڈ ٹو اینڈ انکرپشن,noun,The messaging app offers end-to-end encryption for privacy.,A security system where only communicating users can read messages.,
Endemic,متوطن,স্থানীয়,地方性,بومی,endémique,endemisch,ځایي,endêmico,endémico,ya kienyeji,endemik,ендемічний,مقامی,adjective,Corruption is endemic.,Locally widespread.,
Enervate,يضعف,দুর্বল করা,削弱,ناتوان کردن,énerver,ermatten,کمزوری کول,enervar,enervar,kudhoofisha,zayıflatmak,ослаблювати,کمزور کرنا,verb,Heat enervated the workers.,To weaken.,
Enhance,يعزز,উন্নত করা,增強,تقویت کردن,améliorer,verbessern,ښه کول,melhorar,mejorar,kuongeza,geliştirmek,покращувати,بہتر بنانا,verb,Lighting enhances mood.,To improve.,
Enigmatic,غامض,রহস্যময়,神秘的,مرموز,énigmatique,geheimnisvoll,مرموز,enigmático,enigmático,siri,sırrlı,загадковий,پراسرار,adjective,She gave an enigmatic smile.,Mysterious.,
Enmity,عداوة,শত্রুতা,敵意,دشمنی,inimitié,Feindschaft,دښمني,inimizade,enemistad,uadui,düşmanlık,ворожнеча,دشمنی,noun,Long-standing enmity existed.,Deep hostility.,
Entail,يستلزم,প্রয়োজন করা,涉及,مستلزم بودن,impliquer,erfordern,ضرورت لرل,implicar,implicar,kuhusisha,gerektirmek,вимагати,درکار ہونا,verb,The job entails travel.,To involve as necessary.,
Ephemeral,زائل,ক্ষণস্থায়ী,短暫,گذرا,éphémère,vergänglich,لنډمهاله,efêmero,efímero,ya muda mfupi,geçici,ефемерний,عارضی,adjective,Fame is ephemeral.,Short-lived.,
Epistemology,نظرية المعرفة,জ্ঞানতত্ত্ব,認識論,معرفت‌شناسی,épistémologie,Erkenntnistheorie,معرفت پوهنه,epistemologia,epistemología,utambuzi wa maarifa,epistemoloji,епістемологія,علمِ معرفت,noun,Epistemology studies knowledge.,Branch of philosophy dealing with knowledge.,
Equanimity,اتزان,সমতা,平靜,آرامش,équanimité,Gelassenheit,توازن,equanimidade,ecuanimidad,utulivu,Gelassenlik,спокій,سکون,noun,He maintained equanimity.,Calmness under pressure.,
Equity stake,حصة ملكية,মালিকানা অংশ,股權,سهم مالکیت,part de capital,Eigenkapitalanteil,برخه سهام,participação acionária,participación accionaria,hisa,hisse,частка власності,حصہ,noun,They bought an equity stake.,Ownership share.,
Equivocal,ملتبس,অস্পষ্ট,模棱兩可,دوپهلو,équivoque,mehrdeutig,مبهم,equívoco,equívoco,mbaya maarifa,çift anlamlı,неоднозначний,غیر واضح,adjective,His statement was equivocal.,Ambiguous.,
Equivocate,يتحايل,অস্পষ্ট কথা বলা,含糊其辭,دوپهلو گفتن,équivoquer,ausweichen,مبهم خبرې کول,equivocar,equivocar,kukwepa,savsamak,ухилятися,گول مول بات کرنا,verb,He equivocated during questioning.,To be ambiguous intentionally.,Using too many words.
Eradicate,يقضي على,নির্মূল করা,根除,ریشه‌کن کردن,éradiquer,ausrotten,له منځه وړل,erradicar,erradicar,kutokomeza,yok etmek,ліквідувати,ختم کرنا,verb,The disease was eradicated.,To eliminate completely.,
Errand,مهمة قصيرة,ছোটখাটো কাজ,差事,کار کوتاه,course,Besorgung,وړه دنده,recado,recado,shughuli ndogo,ufak iş,доручення,چھوٹا کام,noun,I need to run a few errands after work.,A short trip made to complete a specific task.,
Erratic,متقلب,অনিয়মিত,不穩定,نامنظم,erratique,unbeständig,نا منظم,errático,errático,isiyo thabiti,düzensiz,нерегулярний,غیر مستقل,adjective,His behavior was erratic.,Unpredictable.,
Erroneous,خاطئ,ভুল,錯誤,نادرست,erroné,fehlerhaft,غلط,errôneo,erróneo,ya makosa,hatalı,помилковий,غلط,adjective,That assumption is erroneous.,Incorrect.,
Eschew,يتجنب,এড়ানো,避開,اجتناب کردن,éviter,meiden,ډډه کول,evitar,esquivar,kuepuka,kaçınmak,уникати,پرہیز کرنا,verb,She eschews luxury.,Avoid deliberately.,
Esoteric,غامض,গূঢ়,深奧的,رمزی,ésotérique,esoterisch,پټ معنا,esotérico,esotérico,ya siri,ezoterik,езотеричний,خفیہ,adjective,Esoteric knowledge is hard to understand.,Understood by few.,
Espionage,التجسس,গুপ্তচরবৃত্তি,間諜,جاسوسی,espionnage,Spionage,جاسوسي,espionagem,espionaje,uhalifu wa siri,istihbarat,шпигунство,جاسوسی,noun,Espionage increased.,Spying activities.,
Ethical,أخلاقي,নৈতিক,倫理的,اخلاقی,éthique,ethisch,اخلاقي,ético,ético,kimaadili,etik,етичний,اخلاقی,adjective,The research followed ethical guidelines.,Relating to moral principles.,
Every cloud has a silver lining,لكل مشكلة جانب إيجابي,খারাপের মধ্যেও ভালো থাকে,黑暗中總有一線光明,هر سختی خیری دارد,à quelque chose malheur est bon,jede Wolke hat einen Silberstreif,هر مشکل کې خیر وي,toda nuvem tem seu lado bom,no hay mal que por bien no venga,kila baya lina jema,her işte bir hayır vardır,немає лиха без добра,ہر برائی میں بھلائی ہوتی ہے,idiom,"Even though he lost his job, every cloud has a silver lining.",There is usually something positive in a bad situation.,
Evoke,يستحضر,জাগানো,喚起,برانگیختن,évoquer,hervorrufen,راپارول,evocar,evocar,kukumbusha,çağrıştırmak,викликати,یاد دلانا,verb,The music evokes memories.,To bring to mind.,
Exacerbate,يفاقم,আরও খারাপ করা,惡化,بدتر کردن,aggraver,verschlimmern,خرابول,exacerbar,exacerbar,kuzidisha,kötüleştirmek,погіршувати,بگاڑنا,verb,Stress exacerbates illness.,To worsen.,
Exculpate,تبرئة,নির্দোষ প্রমাণ করা,開脫,تبرئه کردن,innocenter,entlasten,برائت ورکول,exculpar,exculpar,kufutia lawama,aklamak,виправдовувати,بری کرنا,verb,Evidence exculpated him.,Prove innocence.,
Exemplify,يجسد,উদাহরণ দেওয়া,舉例,نمونه بودن,illustrer,veranschaulichen,نمونه ورکول,ejemplificar,ejemplificar,kudhihirisha,örneklendirmek,ілюструвати,مثال دینا,verb,This case exemplifies the rule.,To serve as example.,
Exigent,ملح,জরুরি,緊急,فوری,exigeant,anspruchsvoll,فوری,exigente,exigente,dharura,acil,нагальний,فوری,adjective,Exigent demands followed.,Pressing.,
Exorbitant,مفرط,অতিরিক্ত,過高,گزاف,exorbitant,exorbitant,ډېر زیات,exorbitante,exorbitante,kupita kiasi,aşırı,надмірний,بہت زیادہ,adjective,Exorbitant prices annoyed customers.,Excessively high.,
Expedite,يسرع,দ্রুত করা,加速,تسریع کردن,accélérer,beschleunigen,چټکول,acelerar,acelerar,kuharakisha,hızlandırmak,прискорювати,تیز کرنا,verb,They expedited the process.,To speed up.,
Expiate,يكفر,প্রায়শ্চিত্ত করা,贖罪,کفاره دادن,expier,sühnen,کفاره کول,expiar,expiar,kufidia,cezalandırmak,спокутувати,کفارہ ادا کرنا,verb,He expiated his guilt.,Atone for wrongdoing.,
Extension cord,سلك تمديد,এক্সটেনশন কর্ড,延長線,سیم رابط,rallonge,Verlängerungskabel,غځېدونکی تار,extensão,alargador,waya wa kuongeza,uzatma kablosu,подовжувач,ایکسٹینشن کورڈ,noun,We used an extension cord for the fan.,A long electrical cable used to extend power access.,
Extol,يمدح,প্রশংসা করা,讚揚,ستودن,exalter,preisen,ستايل,elogiar,exaltar,kusifu,övmek,возвеличувати,تعریف کرنا,verb,They extolled his virtues.,To praise highly.,
Extrapolate,استقراء,অনুমান করা,推斷,برون‌یابی,extrapoler,extrapolieren,اټکل کول,extrapolar,extrapolar,kubashiri,sapmakla tahmin etmek,екстраполювати,قیاس کرنا,verb,It is risky to extrapolate from small data.,To infer beyond available data.,
Face the music,يواجه العواقب,পরিণতি মেনে নেওয়া,面對後果,پذیرفتن عواقب,faire face aux conséquences,sich den Konsequenzen stellen,پايلې منل,encarar as consequências,afrontar las consecuencias,kukubali matokeo,sonuçlara katlanmak,зіткнутися з наслідками,نتائج کا سامنا کرنا,idiom,"After lying to his boss, he had to face the music.",To accept punishment or unpleasant consequences.,
Facetious,مازح,রসিকতাপূর্ণ,輕浮的幽默,طنزآمیز,facetieux,scherzhaft,ټوکي,faceto,facético,ya utani,şakacı,жартівливий,مزاحیہ,adjective,He made a facetious remark.,Humor not meant to be serious.,
Facilitate,يسهل,সহজ করা,促進,تسهیل کردن,faciliter,erleichtern,اسانه کول,facilitar,facilitar,kurahisisha,kolaylaştırmak,полегшувати,آسان بنانا,verb,Technology facilitates learning.,To make easier.,
Faction,فصيل,দলীয় গোষ্ঠী,派系,جناح,faction,Fraktion,ډله,facção,facción,faksi,klik,фракція,گروہ,noun,A faction opposed reforms.,Subgroup within party.,
Fail-safe,آمن عند الفشل,خرابی প্রতিরোধী,故障保護的,ایمن در خرابی,sécurité intégrée,ausfallsicher,د ناکامۍ خوندي,failsafe,a prueba de fallos,salama wakati wa hitilafu,emniyetli sistem,відмовостійкий,فیل سیف,adjective,The reactor includes a fail-safe shutdown mechanism.,Designed to prevent danger or malfunction if something fails.,
Failed state,دولة فاشلة,ব্যর্থ রাষ্ট্র,失敗國家,دولت شکست‌خورده,État failli,gescheiterter Staat,ناکام دولت,estado falido,estado fallido,nchi iliyoshindwa,başarısız devlet,неспроможна держава,ناکام ریاست,noun,A failed state emerged.,Weak governance state.,
Fallacy,مغالطة,ভ্রান্ত ধারণা,謬誤,مغالطه,fallace,Irrtum,مغالطه,falácia,falacia,dhahania batili,fallacy,помилка,مغالطہ,noun,That argument is a logical fallacy.,A mistaken belief or flawed reasoning.,
Fallible,قابل للخطأ,ভুলযোগ্য,易錯,خطاپذیر,fallible,fehlbar,د خطا وړ,fallível,falible,ya kukosea,yanılabilir,помилковий,غلطی پذیر,adjective,Humans are fallible.,Capable of making mistakes.,
Fastidious,دقيق,খুঁতখুঁতে,挑剔,وسواسی,fastidieux,pedant,ډېر دقیق,fastidioso,fastidioso,mkali,hassas,прискіпливий,نازک مزاج,adjective,A fastidious editor corrected errors.,Very picky.,
Fatuous,أحمق,মূর্খ,愚蠢,احمق,fatu,albern,بې عقله,fatuo,fatuo,mpumbavu,saf,безглуздий,بیوقوف,adjective,A fatuous comment followed.,Silly.,
Faucet,صنبور,কল,水龍頭,شیر آب,robinet,Wasserhahn,نل,torneira,grifo,bomba,musluk,кран,نلکہ,noun,The kitchen faucet was leaking slightly.,A device that controls water flow from a pipe.,
Feasible,ممكن,সম্ভব,可行,قابل اجرا,faisable,machbar,ممکن,factível,factible,inawezekana,mümkün,здійсненний,ممکن,adjective,The plan is feasible.,Capable of being done.,
